hwjcknre2020-05-25/16:07:26		log_message
2020-05-25/16:28:46		Start of Validation on files for Training
2020-05-25/16:41:55		Start of Validation on files for Training
2020-05-25/22:53:15		Start of Validation on files for Training
2020-05-25/22:53:16		Raw Data Validation Complete!!
2020-05-25/22:53:16		Starting Data Transforamtion!!
2020-05-25/22:53:17		DataTransformation Completed!!!
2020-05-25/22:53:17		Creating Training_Database and tables on the basis of given schema!!!
2020-05-25/22:53:17		Table creation Completed!!
2020-05-25/22:53:17		Insertion of Data into Table started!!!!
2020-05-25/22:53:22		Insertion in Table completed!!!
2020-05-25/22:53:22		Deleting Good Data Folder!!!
2020-05-25/22:53:22		Good_Data folder deleted!!!
2020-05-25/22:53:22		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-25/22:53:23		Bad files moved to archive!! Bad folder Deleted!!
2020-05-25/22:53:23		Validation Operation completed!!
2020-05-25/22:53:23		Extracting csv file from table
2020-05-25/22:53:40		Start of Validation on files for Training
2020-05-25/22:53:41		Raw Data Validation Complete!!
2020-05-25/22:53:41		Starting Data Transforamtion!!
2020-05-25/22:53:42		DataTransformation Completed!!!
2020-05-25/22:53:42		Creating Training_Database and tables on the basis of given schema!!!
2020-05-25/22:53:52		Table creation Completed!!
2020-05-25/22:53:52		Insertion of Data into Table started!!!!
2020-05-25/22:53:56		Insertion in Table completed!!!
2020-05-25/22:53:56		Deleting Good Data Folder!!!
2020-05-25/22:53:56		Good_Data folder deleted!!!
2020-05-25/22:53:56		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-25/22:53:56		Bad files moved to archive!! Bad folder Deleted!!
2020-05-25/22:53:56		Validation Operation completed!!
2020-05-25/22:53:56		Extracting csv file from table
2020-05-26/00:03:53		Start of Validation on files for Training
2020-05-26/00:03:54		Raw Data Validation Complete!!
2020-05-26/00:03:54		Starting Data Transforamtion!!
2020-05-26/00:03:55		DataTransformation Completed!!!
2020-05-26/00:03:55		Creating Training_Database and tables on the basis of given schema!!!
2020-05-26/00:03:57		Table creation Completed!!
2020-05-26/00:03:57		Insertion of Data into Table started!!!!
2020-05-26/00:04:43		Insertion in Table completed!!!
2020-05-26/00:04:44		Deleting Good Data Folder!!!
2020-05-26/00:06:57		Good_Data folder deleted!!!
2020-05-26/00:06:59		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-26/00:08:17		Bad files moved to archive!! Bad folder Deleted!!
2020-05-26/00:08:18		Validation Operation completed!!
2020-05-26/00:08:21		Extracting csv file from table
2020-05-26/00:13:30		Start of Validation on files for Training
2020-05-26/00:13:31		Raw Data Validation Complete!!
2020-05-26/00:13:31		Starting Data Transforamtion!!
2020-05-26/00:13:32		DataTransformation Completed!!!
2020-05-26/00:13:32		Creating Training_Database and tables on the basis of given schema!!!
2020-05-26/00:13:32		Table creation Completed!!
2020-05-26/00:13:32		Insertion of Data into Table started!!!!
2020-05-26/00:13:35		Insertion in Table completed!!!
2020-05-26/00:13:35		Deleting Good Data Folder!!!
2020-05-26/00:13:35		Good_Data folder deleted!!!
2020-05-26/00:13:35		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-26/00:13:35		Bad files moved to archive!! Bad folder Deleted!!
2020-05-26/00:13:35		Validation Operation completed!!
2020-05-26/00:13:35		Extracting csv file from table
2020-05-26/00:16:01		Start of Validation on files for Training
2020-05-26/00:16:02		Raw Data Validation Complete!!
2020-05-26/00:16:02		Starting Data Transforamtion!!
2020-05-26/00:16:03		DataTransformation Completed!!!
2020-05-26/00:16:03		Creating Training_Database and tables on the basis of given schema!!!
2020-05-26/00:16:04		Table creation Completed!!
2020-05-26/00:16:04		Insertion of Data into Table started!!!!
2020-05-26/00:16:06		Insertion in Table completed!!!
2020-05-26/00:16:06		Deleting Good Data Folder!!!
2020-05-26/00:16:06		Good_Data folder deleted!!!
2020-05-26/00:16:06		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-26/00:16:06		Bad files moved to archive!! Bad folder Deleted!!
2020-05-26/00:16:06		Validation Operation completed!!
2020-05-26/00:16:06		Extracting csv file from table
2020-05-27/22:53:32		Start of Validation on files for Training
2020-05-27/22:53:34		Raw Data Validation Complete!!
2020-05-27/22:53:34		Starting Data Transforamtion!!
2020-05-27/22:53:35		DataTransformation Completed!!!
2020-05-27/22:53:35		Creating Training_Database and tables on the basis of given schema!!!
2020-05-27/22:53:35		Table creation Completed!!
2020-05-27/22:53:35		Insertion of Data into Table started!!!!
2020-05-27/22:53:39		Insertion in Table completed!!!
2020-05-27/22:53:39		Deleting Good Data Folder!!!
2020-05-27/22:53:39		Good_Data folder deleted!!!
2020-05-27/22:53:39		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-27/22:53:39		Bad files moved to archive!! Bad folder Deleted!!
2020-05-27/22:53:39		Validation Operation completed!!
2020-05-27/22:53:39		Extracting csv file from table
2020-05-27/23:39:53		Start of Validation on files for Training
2020-05-27/23:39:54		Raw Data Validation Complete!!
2020-05-27/23:39:54		Starting Data Transforamtion!!
2020-05-27/23:39:55		DataTransformation Completed!!!
2020-05-27/23:39:55		Creating Training_Database and tables on the basis of given schema!!!
2020-05-27/23:39:55		Table creation Completed!!
2020-05-27/23:39:55		Insertion of Data into Table started!!!!
2020-05-27/23:40:25		Insertion in Table completed!!!
2020-05-27/23:40:25		Deleting Good Data Folder!!!
2020-05-27/23:40:27		Good_Data folder deleted!!!
2020-05-27/23:40:27		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-05-27/23:40:31		Bad files moved to archive!! Bad folder Deleted!!
2020-05-27/23:40:32		Validation Operation completed!!
2020-05-27/23:40:32		Extracting csv file from table
